Date|Price|Market Cap
2019-11-02|1|469892325
2019-11-01|1|455485474
2019-10-31|1|464314215
2019-10-30|1|467478637
2019-10-29|0,9996|470545187
2019-10-28|1|473738411
2019-10-27|1|475568092
2019-10-26|0,9989|480409109
2019-10-25|1|481796816
2019-10-24|1,01|481101880
2019-10-23|1|464430442
2019-10-22|1|462166935
2019-10-21|1|477558147
2019-10-20|1|474459294
2019-10-19|1|476133073
2019-10-18|1|474714058
2019-10-17|1|474582523
2019-10-16|1|475595775
2019-10-15|1|471057041
2019-10-14|1|468218814
2019-10-13|1|468541249
2019-10-12|1|468394318
2019-10-11|1,01|470359604
2019-10-10|1|452018483
2019-10-09|1|461621063
2019-10-08|1,01|468318970
2019-10-07|1,01|471937627
2019-10-06|1,01|480030266
2019-10-05|0,9989|473493991
2019-10-04|1,01|476792469
2019-10-03|1|474684574
2019-10-02|1|456240793
2019-10-01|1|426469952
2019-09-30|1|427374808
2019-09-29|1|429610243
2019-09-28|1|429395143
2019-09-27|1,01|427060556
2019-09-26|1,01|419803976
2019-09-25|1|417470014
2019-09-24|1|389211511
2019-09-23|1|389889240
2019-09-22|1|392999541
2019-09-21|1|393751351
2019-09-20|1|393703322
2019-09-19|0,9988|399476337
2019-09-18|1|404626236
2019-09-17|1|414202818
2019-09-16|0,9999|421382673
2019-09-15|1|427289964
2019-09-14|0,9993|426122932
2019-09-13|0,9988|426372460
2019-09-12|0,999|433413767
2019-09-11|1|435865675
2019-09-10|1|438285028
2019-09-09|1|439300894
2019-09-08|1|443790058
2019-09-07|1|446581153
2019-09-06|1|446334724
2019-09-05|0,9993|451453129
2019-09-04|1|428921432
2019-09-03|1|442431639
2019-09-02|0,998|442561509
2019-09-01|1|452961466
2019-08-31|1|453985394
2019-08-30|1|452638755
2019-08-29|1|450009120
2019-08-28|0,9998|424907803
2019-08-27|1|424924389
2019-08-26|1|429435489
2019-08-25|0,9992|435835635
2019-08-24|1|438031691
2019-08-23|1|438606575
2019-08-22|1|438817602
2019-08-21|0,9997|438098196
2019-08-20|1|416674294
2019-08-19|1|417987447
2019-08-18|1|420617418
2019-08-17|1|419396123
2019-08-16|1|420406893
2019-08-15|1|418842373
2019-08-14|1|419239163
2019-08-13|1|421479640
2019-08-12|1|423256123
2019-08-11|0,9975|421827379
2019-08-10|1|424503931
2019-08-09|0,9999|421098918
2019-08-08|0,9965|430327900
2019-08-07|1|432471759
2019-08-06|0,9996|432324477
2019-08-05|1|430635846
2019-08-04|0,9981|421167169
2019-08-03|1|423688043
2019-08-02|0,9998|421730012
2019-08-01|1|429294159
2019-07-31|1|436048258
2019-07-30|1|437549090
2019-07-29|1|437472835
2019-07-28|1|423857748
2019-07-27|1|423283758
2019-07-26|1|424175789
2019-07-25|1|421478374
2019-07-24|1|422466299
2019-07-23|1|403811644
2019-07-22|1|405663026
2019-07-21|1|404794928
2019-07-20|1|405396205
2019-07-19|0,9999|404461385
2019-07-18|1|423752493
2019-07-17|1|424443148
2019-07-16|0,9999|402705576
2019-07-15|1|384031763
2019-07-14|0,9986|381350517
2019-07-13|0,9991|381400432
2019-07-12|1|381774805
2019-07-11|0,9993|376911460
2019-07-10|1|377774654
2019-07-09|0,9995|374922536
2019-07-08|0,9994|375388100
2019-07-07|0,9967|368058332
2019-07-06|0,9961|367854867
2019-07-05|1|367267504
2019-07-04|0,9994|366400452
2019-07-03|1|366894722
2019-07-02|1|370243193
2019-07-01|1|367612314
2019-06-30|1|366985179
2019-06-29|0,9996|365854205
2019-06-28|1|364258191
2019-06-27|1|360953145
2019-06-26|1|355534300
2019-06-25|1|345967174
2019-06-24|1|346117014
2019-06-23|1|344238451
2019-06-22|1|342590410
2019-06-21|0,9981|342637241
2019-06-20|0,9977|346068746
2019-06-19|0,9989|345830994
2019-06-18|0,9986|341369762
2019-06-17|1|342956758
2019-06-16|1|343748615
2019-06-15|0,9992|343889180
2019-06-14|1|344551146
2019-06-13|0,999|343111371
2019-06-12|0,9999|341136712
2019-06-11|1|340263708
2019-06-10|1|340353226
2019-06-09|1|338071632
2019-06-08|0,9941|335510301
2019-06-07|1|338066186
2019-06-06|1|338793465
2019-06-05|1|337474989
2019-06-04|1|335910948
2019-06-03|0,9979|333664121
2019-06-02|0,9992|333445431
2019-06-01|0,9999|333732017
2019-05-31|1|333225826
2019-05-30|0,9995|329560317
2019-05-29|0,9984|358279967
2019-05-28|1,01|362123747
2019-05-27|1|363266208
2019-05-26|0,9971|361061519
2019-05-25|0,998|360871707
2019-05-24|0,9984|359166983
2019-05-23|1|359537082
2019-05-22|1|359653673
2019-05-21|0,9989|358037015
2019-05-20|0,9965|356599309
2019-05-19|1|358662739
2019-05-18|0,9965|357148686
2019-05-17|0,9987|358044015
2019-05-16|0,9988|355813796
2019-05-15|0,9982|350986006
2019-05-14|0,9988|347094430
2019-05-13|0,9997|337091606
2019-05-12|0,9984|326565574
2019-05-11|0,9969|326080996
2019-05-10|1,01|328247562
2019-05-09|1|325541429
2019-05-08|1,01|315621068
2019-05-07|1,01|309665945
2019-05-06|1,01|304196575
2019-05-05|1,01|302262909
2019-05-04|1,01|301440448
2019-05-03|1,02|300729165
2019-05-02|1,02|297640824
2019-05-01|1,01|297075625
2019-04-30|1,02|296148387
2019-04-29|1,02|296038711
2019-04-28|1,02|296169540
2019-04-27|1,01|295631313
2019-04-26|1,02|266877831
2019-04-25|1,01|257987023
2019-04-24|0,9989|251875614
2019-04-23|0,9994|251619167
2019-04-22|1|252701768
2019-04-21|1|251875250
2019-04-20|1|252224995
2019-04-19|1|252660269
2019-04-18|1|252677626
2019-04-17|1,01|257358655
2019-04-16|1,01|261998390
2019-04-15|0,999|259120335
2019-04-14|1,01|261528326
2019-04-13|1|260490480
2019-04-12|1|259999114
2019-04-11|1|259775723
2019-04-10|1|263097191
2019-04-09|1|266472461
2019-04-08|1|261528845
2019-04-07|1,01|262035385
2019-04-06|1|260706591
2019-04-05|1|261161960
2019-04-04|1|257700787
2019-04-03|1|256492829
2019-04-02|1|257154541
2019-04-01|1|253290031
2019-03-31|1|246270111
2019-03-30|1|246478130
2019-03-29|1|246925871
2019-03-28|1,01|249534401
2019-03-27|1,02|249648527
2019-03-26|1,01|248448913
2019-03-25|1,01|249298995
2019-03-24|1,01|247226412
2019-03-23|1,01|247863704
2019-03-22|1,01|246609280
2019-03-21|1,01|247007932
2019-03-20|1,01|243880396
2019-03-19|1,02|243793849
2019-03-18|1,02|243412427
2019-03-17|1,02|243982005
2019-03-16|1,02|243037195
2019-03-15|1,02|242997571
2019-03-14|1,02|244623975
2019-03-13|1,01|243618142
2019-03-12|1,01|239478825
2019-03-11|1,01|239824828
2019-03-10|1,02|241217070
2019-03-09|1,01|239526386
2019-03-08|1,01|240037668
2019-03-07|1,01|239792871
2019-03-06|1,01|239891927
2019-03-05|1,02|240587907
2019-03-04|1,02|240265683
2019-03-03|1,01|239435727
2019-03-02|1,01|238964776
2019-03-01|1,01|233704707
2019-02-28|1,01|234118357
2019-02-27|1,02|234332690
2019-02-26|1,01|232919408
2019-02-25|1,02|234355973
2019-02-24|1,01|231683105
2019-02-23|1,01|232823545
2019-02-22|1,02|233988555
2019-02-21|1,01|233211813
2019-02-20|1,02|248241907
2019-02-19|1|245411277
2019-02-18|1,01|247579345
2019-02-17|1,02|250117816
2019-02-16|1,01|247555008
2019-02-15|1,01|247301762
2019-02-14|1,01|246582359
2019-02-13|1,01|246858432
2019-02-12|1,02|262859263
2019-02-11|1,01|261437387
2019-02-10|1,01|262005710
2019-02-09|1,01|261570199
2019-02-08|1,02|277576609
2019-02-07|1,01|276092246
2019-02-06|1,01|291895730
2019-02-05|1,01|291042663
2019-02-04|1,01|291806351
2019-02-03|1,01|302531642
2019-02-02|1,02|303768812
2019-02-01|1,02|303077425
2019-01-31|1,01|297790025
2019-01-30|1,01|318185578
2019-01-29|1,01|318523792
2019-01-28|1,01|318116020
2019-01-27|1,01|333585022
2019-01-26|1,01|326739212
2019-01-25|1,01|326799021
2019-01-24|1,01|323387386
2019-01-23|1,01|315423713
